"GeoName","GeoFIPS"
"Albemarle + Charlottesville, VA*","51901"
"Alleghany + Covington, VA*","51903"
"Augusta, Staunton + Waynesboro, VA*","51907"
"Campbell + Lynchburg, VA*","51911"
"Carroll + Galax, VA*","51913"
"Dinwiddie, Colonial Heights + Petersburg, VA*","51918"
"Fairfax, Fairfax City + Falls Church, VA*","51919"
"Frederick + Winchester, VA*","51921"
"Greensville + Emporia, VA*","51923"
"Henry + Martinsville, VA*","51929"
"James City + Williamsburg, VA*","51931"
"Montgomery + Radford, VA*","51933"
"Pittsylvania + Danville, VA*","51939"
"Prince George + Hopewell, VA*","51941"
"Prince William, Manassas + Manassas Park, VA*","51942"
"Roanoke + Salem, VA*","51944"
"Rockbridge, Buena Vista + Lexington, VA*","51945"
"Rockingham + Harrisonburg, VA*","51947"
"Southampton + Franklin, VA*","51949"
"Spotsylvania + Fredericksburg, VA*","51951"
"Washington + Bristol, VA*","51953"
"Wise + Norton, VA*","51955"
"York + Poquoson, VA*","51958"
